rank,youtuber,subscribers,video_views,category,title,uploads,country,abbreviation,channel_type,video_views_rank,country_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,gross_tertiary_education_enrollment,population,unemployment_rate,urban_population,created_at
352,Baim Paula,21100000,4526271677.0,People & Blogs,Baim Paula,2325,Indonesia,ID,Entertainment,1583.0,8.0,26974000.0,6700.0,107900.0,80900.0,1300000.0,100000.0,28.1,270203917.0,4.69,151509724.0,2016-06-04
873,BanderitaX,13300000,4129249415.0,Gaming,BanderitaX,1640,Saudi Arabia,SA,Games,1818.0,7.0,70712000.0,17700.0,282800.0,212100.0,3400000.0,200000.0,49.3,34268528.0,5.93,28807838.0,2013-08-20
712,Beast Philanthropy,14800000,272678287.0,People & Blogs,Beast Philanthropy,34,Germany,DE,Games,3968552.0,2600.0,37883.0,9.0,152.0,114.0,1800.0,3580.0,28.1,83132799.0,3.04,64324835.0,2015-01-31
206,Beast Reacts,26700000,4388047013.0,People & Blogs,Beast Reacts,241,United States,US,Entertainment,1632.0,61.0,276187000.0,69000.0,1100000.0,828600.0,13300000.0,1200000.0,88.2,328239523.0,14.7,270663028.0,2016-04-24
958,Bebefinn - Nursery Rhymes & Kids Songs,12500000,4163639093.0,Music,Bebefinn - Nursery Rhymes & Kids Songs,322,United States,US,Entertainment,1794.0,175.0,565459000.0,0.0,0.0,0.0,0.0,500000.0,88.2,328239523.0,14.7,270663028.0,2022-03-30
344,Becky G,21300000,10644857969.0,Music,Becky G,78,United States,US,Music,396.0,98.0,103171000.0,25800.0,412700.0,309500.0,5000000.0,100000.0,88.2,328239523.0,14.7,270663028.0,2011-09-06
322,Ben Azelart,21900000,4454917643.0,Film & Animation,Ben Azelart,301,United States,US,Entertainment,1620.0,94.0,184946000.0,46200.0,739800.0,554800.0,8900000.0,500000.0,88.2,328239523.0,14.7,270663028.0,2014-06-05
792,Bie The Ska,14100000,4627069704.0,Entertainment,Bie The Ska,1540,Thailand,TH,Entertainment,1531.0,14.0,12502000.0,3100.0,50000.0,37500.0,600100.0,100000.0,28.1,69625582.0,0.75,35294600.0,2006-10-03
46,Billie Eilish,47900000,13626331061.0,Music,Billie Eilish,65,United States,US,Music,263.0,16.0,146862000.0,36700.0,587400.0,440600.0,7000000.0,200000.0,88.2,328239523.0,14.7,270663028.0,2013-02-06
543,Bispo Bruno Leonardo,16900000,3523578665.0,Nonprofits & Activism,Bispo Bruno Leonardo,4891,Brazil,BR,Nonprofit,2307.0,29.0,149543000.0,37400.0,598200.0,448600.0,7200000.0,400000.0,88.2,212559417.0,12.08,183241641.0,2016-04-10
